question_id,topic_tokenized,answer_item_1_tokenized,answer_item_2_tokenized,answer_item_3_tokenized,answer_item_4_tokenized,answer_item_5_tokenized,answer_item_6_tokenized,answer_item_7_tokenized,answer_item_8_tokenized,answer_item_9_tokenized
11,"career,develop","polici,exampl,much,public","walk,fall,establish,whether,physic","hour,beyond,analysi,week,mission,forward","cultur,model,minut,subject,financi,collect,method,million,star,stock,polit,former","idea,attent,qualiti,age,alreadi,employe,compar,inform,main,father,put,vote,rais,trial,effort,recent,glass,occur","mayb,order,execut,set,throw,feder,memori,alway,student,servic,bad,make,air,seriou,popular,case,congress,still,intern,seven,requir","enjoy,level,share,everybodi,visit,write,confer,singl,sure,group","whether,teach,pa,keep,els,financi,former,road,father,north,gener","medium,special,popular,consid,final,candid,figur,inform,present,industri,central,reveal,choos,dinner,audienc,final,page,although"
12,"environment,scienc","draw,prevent,detail,account,crime,sometim,financi,check,mouth","strategi,admit,perform,mani,bank,power,book,visit,laugh,reduc,rule,fish,posit,properti,hospit","languag,southern,economi,subject,u,offici,defens,forget,mind,hand,win,alway,town,level,event,write,miss,stuff,buy,prevent,dream,though,like","degre,billion,administr,scienc,matter,littl,writer,skin,reduc,hair,quickli,get,polit,final,worker","hope,without,abil,great,degre,accord,produc,right,day,plan,peac,like,particip",,,,
13,"climat,chang","leg,whatev,unit,form,effect,window,structur,main,effort","attent,signific,call,imagin","meet,gun,particularli,partner,quit,inde,coach,forc","record,appli,tell,daughter,right,road,execut,morn,simpli,includ,state,abil,camera,signific,inform","manag,first,mission,player,seri,past,model,machin,properti,report,although",,,,
14,"environment,scienc","chanc,feder,win,live,relationship,perform,list,crime,home,babi,list","rule,societi,prevent,ground,season,add,place,public,situat,state,custom,central,get,total","prevent,less,affect,local,half,red,right,task,earli,book,whose,nation,space,despit,abil,high","realiz,week,note,watch,per,central,floor","dinner,score,campaign,decis,sourc,troubl,long,tree,director,everybodi,price,import,televis,fund,lead,describ,employe,six,site,hotel","noth,mani,detail,idea,threat,noth","ye,chanc,cover,rise,decid,order,good,high,doctor,state","close,improv,challeng,imagin,senior",
15,"web,develop","subject,approach,whether,debat,item,rate,make,earli,grow,everybodi,read,knowledg,process,admit,begin,rememb,establish","station,feel,agent,ago,sit,give,particip,soon,scienc,tv,writer,effort,offic,seek,write,magazin,reveal,type","exampl,give,left,pa,creat,feel,magazin,ago,camera,teach,requir,enough,almost,medium,issu,expert,defens,civil,financi,account,item,begin","music,art,affect,tell,interview,cost,soldier,writer,candid,noth,worri","reduc,long,interest,would,find,paper,class,militari","age,action,arriv,avoid,manag,fire,fall,treatment,specif,tree","enough,site,within,hand,kid,someth,becom,figur,relat,project,hand,enter,find,note,realiz","deal,effect,societi,point,stop,yard,drive,alon,effort,paper,polici",
16,psycholog,"view,energi,live,would,detail,coupl,occur,level,decis,year,seriou,economi,agre","respond,marriag,wall,republican,career,author,model,rule,view,materi,physic,tell","size,rate,central,gener,minut,pick,societi,find,hospit","whatev,success,bad,anoth,room,outsid,pay,beat,worker,may,soldier,possibl,affect,sing,mission","tell,modern,oper,turn","cold,idea,maintain,point,night,book","make,fire,attack,becom,huge,process,doctor,abl,pick,none,watch,write,onto,compani,tv,even,properti,focu","wind,somebodi,clearli,bit,field","owner,like,stop,follow,three,sing,hold,issu,profession,skill,news,onto,discuss,stage"
17,educ,"anoth,invest,noth,month,idea,race,administr,read,interest,answer,wonder,factor,radio,hour,singl,polic,late,admit","nice,summer,read,physic","leader,go,type,noth,imag,view,control,moment,consum,anyth,level,natur,relat,discov,nation,includ,polic","speech,beat,may,rock,audienc,group,stuff,model,chanc","feder,cover,day,feel,get,data,simpl,white,drug,other,sing,factor,score,certainli,tri,execut,past,way,believ,practic,continu","process,color,song,prevent,republican,yet",,,
18,"digit,market","dark,system,wrong,dinner,even,sell,mention,offic,employe,scienc,record,hard,court,view,theori","season,billion,somebodi,someth,societi,hundr,research,sign,follow,know,singl,white,agent,line,expect,though,behind,push,leav,recent,cut,full","leg,middl,turn,half,differ,agreement,determin,major,blue,eight,kitchen,econom,meet,public,pressur,court,feel,movement,consum,civil,pay,address","suddenli,run,term,suggest,specif,standard,manag,oil,behind","turn,follow,care,hard",,,,
19,sociolog,"perhap,readi,certainli,thing,road,ago,area,final,go,team,fish","page,sing,weight,later,result,everi,someth,shoulder,moment","garden,card,instead,right,attent,kid,pattern,accord","though,rather,evid,success,bed,nearli,hospit,consid,former,secur,maintain,fill,import,everybodi,site,leader,popul,next,rest,indic,rather,determin,cultur",,,,,
20,sociolog,"relat,religi,model,dark,social,issu,cover,step","entir,secur,buy,wide,like,field,exactli,actual,servic,seri,similar,onto,capit,stay,list,without,thu,bad,produc,tree","artist,father,line,least,readi,pa,care,build,moment,team,close,fill,moment,fear,thousand,situat,two,learn,cultur,foot,idea,want","note,teacher,career,claim","benefit,home,economi,modern,charg,coupl,agenc,common,mission,consum,dog,husband,safe,career,affect,analysi,wall","group,countri,yet,tonight,sort","entir,bit,physic,summer,identifi,thousand,amount,record,stand,eat,sens,know,worri,issu,social,agent,car,debat,appear,economi,total,tree","trip,agreement,product",
21,robot,"throw,ye,singl,result,agre,capit,away,best,develop,arm,reach,rate,voic,particular,guy,compani,fight","trial,arriv,base,student,like,give,new","stuff,physic,bed,next,anim,read,crime,let,voic","campaign,major,condit,abl,parti,staff,alreadi,north,dream,bit,set,cover",,,,,
22,psycholog,"door,religi,evid,pressur,white,white,american,number,hotel","posit,finish,bodi,comput,rock","drop,worri,find,meet,page,commerci","democrat,must,profession,perform,outsid,summer","dark,speak,paper,stand,either,parent,air,wish,age,administr,live,futur,long,stori,half",,,,
23,entrepreneurship,"risk,power,lay,manag,scene,languag,modern,loss,focu,item,town,scienc,train,stuff,boy,kind,manag,glass,tradit,servic,concern,throughout,big,readi,yard","busi,front,inform,impact,phone,chair,boy,variou,exist,throw,democrat,either,art,somebodi,hospit,size,friend,head,set,probabl,easi,must,color,charact,never","fear,determin,environ,sing,around,civil,see,method,imagin,form,choos,instead,republican,structur,blue,factor","audienc,cover,owner,societi,year,late,music,show,back,colleg,drive,shoulder,often,thu,behavior,learn","avoid,bit,win,suffer,togeth,tax,insid,student,scientist,govern,social,give,side,choos,art,night,leg,type,edg,great,price,execut,star,east,choic,valu,head,agenc","modern,materi,term,particular,think,number","never,certainli,offer","remain,kid,see,line,know","beyond,bank,eight,candid,need,push,white,behavior,three,nearli,behavior,meet,west,former,forc,meet,across,discuss,bar"
24,robot,"citi,show,rate,cover,elect,hundr,town,offic,week,mission,trial","cup,popular,time,agre,well,husband","skill,scene,west,look,impact,door,film,hundr,fire,blue,ok,rememb,health,six,anim,major,oper",,,,,,
25,"machin,learn","though,buy,hair,ago,program,town,forc,good,ground,read,along,win,religi,write,meet,debat","matter,safe,enter,edg,identifi,play,candid,great,lawyer,avail,deep,experi,possibl,trade,throw,popular,soldier,agreement,collect,son","control,sport,choic,seri,leav,anoth,rememb,sport,type,program,other,form,interview,custom,practic,attent,visit,fire,sing,price,know","soldier,woman,special,impact,back","comput,inde,tax,moment,accept,rate,speech,cold,educ,financi","region,man,establish,better,today,manag,cours,group","color,marriag,natur,busi,even,paint,artist,whose,win,busi,factor,financi,parti,reduc,shake,fight,technolog,put,work,less,democrat","becom,chang,research,night,eight,alway,environ,task,watch","enjoy,compar,centuri,rememb,polic,hair,make,use,oil,board,agenc,avoid,run,know,gener,state,peopl,worker,carri"
26,"web,develop","quickli,onto,market,capit,word,piec,develop,keep,brother,pressur","necessari,suddenli,factor,kid,long,mayb,lead,first,oper,togeth","readi,laugh,blood,imagin,middl,senior,hard,pull,popul,grow,articl,abl,friend,everybodi,sit,morn,possibl","final,upon,concern,benefit,final,writer,execut,modern,camera,scene,especi,notic,hour,stage,control,health,reduc,charg,husband",,,,,
27,"space,explor","thu,man,far,sever,kind,cost,stop,forward","militari,team,fire,respons,buy,home,side,laugh,firm,much,person,rais,film,dog,servic","key,rais,less,repres,eight,black,u,benefit,talk,detail,skill,republican,happen",,,,,,
28,"machin,learn","stori,cultur,power,ball,busi,special,project","field,differ,later,old,lead,hear,includ,special,practic,model,high,buy,give,name,intern","let,concern,peopl,determin,drive,room,anim,bad,claim,less,agre,visit,hous,intern,western,may,instead,growth,ten,stuff,far,offer,busi,thousand,win,water,differ,invest,prevent,consum","offer,think,lose,wide,side,answer",,,,,
29,blockchain,"energi,partner,push,alway,person,good,go,realiti,lot,polici,view,middl,issu,involv,environment,pick,drug,yeah,difficult,lose","collect,budget,knowledg,rest,televis,drop,fund,trial,would,writer,car,debat,behind","beyond,everi,account,busi,address,tabl","professor,blue,fish,govern",,,,,
30,blockchain,"physic,shoulder,movement,state,center,agent","fear,evid,find,detail,threat,bad,high,degre,kind,relationship,audienc,step,look,decad,explain,sell,reason,hold","art,write,protect,start,challeng,set,begin,anyon","kid,qualiti,reveal,whose,feel,central,measur,commun,moment,mr","polit,live,summer,subject,hear,possibl,countri,includ,specif,moment,wife,environ,other",,,,
31,"web,develop","figur,growth,follow,rememb,speak,simpl,five,sound,pull,rais,includ,physic","good,nearli,includ,whose,marriag,concern","thu,want,admit,time,act,wide,materi,scientist,view,run,game,energi,sourc,someon","miss,gener,anyon,noth,small",,,,,
32,"person,financ","hour,money,whatev,rememb,learn,join,energi,forc,face,foreign,administr,gener","particular,pattern,establish,school,growth,develop,western,polici,behavior,born,upon","citizen,author,one,success,interest,goal,film,group,determin,administr,seem,weight,put,sit,choos,site,data,time,director","visit,present,howev,bodi,north,almost,thank,fall,might,prepar,hous,help,posit,expect,line",,,,,
33,cybersecur,"magazin,earli,cultur,wall,eat,career,ball,less,measur","oil,tend,bad,wall,commun,rest,debat,custom,question,avoid,enter,coach,everi,even,common,comput,one,continu","elect,player,babi,compar,particip,perform,type,art,hotel,medium,seven,posit,probabl","like,comput,becom,parti,opportun,sort,break,individu,shoulder,check,anyon,hotel,put,eight,alon,seem,claim","american,develop,civil,life,full,manag,second,bit,particip,technolog,water,soon,budget,skill,lead,glass,behind",,,,
34,"career,develop","success,eye,pick","control,admit,skin,drug,easi","happen,knowledg,environment,charg,continu",,,,,,
35,"space,explor","trip,north,sourc,budget,church,prevent,still,send,lot,despit,offici,fund,hold,ground,import,local,import","specif,laugh,much,secur","question,issu,week,record,social,develop,data","night,littl,arriv,place,outsid,part,woman,offici,thousand,throughout,compani,result,consum,whose,beat,news,social,lose,arm,rise,deep","degre,eye,hit,term,hotel,left","someth,live,book,pay,focu,tree,relationship,practic,money,room,thing,paper,action,find","rather,move,subject,laugh,amount,lead,say","box,middl,congress",
36,robot,"store,enter,carri,everyth,region,would,mission,provid,model,win,notic,concern,eight,sister,kid,seem,well,even","wall,show,listen,listen,civil,light,everyth,skin","six,five,recent,question,threat,shoulder,store,fact,begin,lawyer,though,mean,dog,start","guess,best,larg,huge,piec,land,well,page,necessari,hit,laugh,bring,glass","environment,wife,strong,form,south,bill,bit,measur","style,sport,former,serv,decid,offer,mr,leader,never,outsid,employe,letter,spring,billion,market,togeth,owner,beauti,form,side,expert,impact,among,four","live,among,analysi,civil,miss,tonight,design,million,major","miss,throw,left,second,say,class,protect,control,wrong,friend,polit,cours,polit,appli,simpl",
37,"quantum,comput","fli,enter,place,peopl,differ,tv,unit,easi,like,market,tabl,less,night,know,environment,first,mani,fine,site","parti,back,yard,hand,whose","peopl,answer,next,confer","right,fund,ok,notic,least,rule,technolog,great,rais,space","learn,recent,meet,execut","deep,address,chair,articl,pattern,reduc","energi,govern,win,serv,manag,easi,earli,articl,book,materi,blue,go,beat,newspap,behavior,futur,decid",,
38,"person,financ","worri,bad,seven,enough,environ","debat,dream,task,smile,case,movi,candid,decid,term,whose,organ,catch,accord,well,list,past,usual,nation,pretti,owner,game,effect","former,number,push,save,natur,law,walk,scene,war,choos",,,,,,
39,"digit,market","lead,huge,servic,discuss,ok,statement,posit,strategi,invest,worker","place,rang,thank,number,school,kid,talk,see,sell","statement,environment,hit,spring,wonder,quickli,studi,howev,peopl,plant","continu,final,huge,like","day,term,hundr,use","hospit,teach,leader,skill,go,somebodi,serv,tri,choic,instead,spend,question,human,suggest,sinc,anyon","dark,develop,write,senior,next,execut,soon,everyth,big,result,member,economi,ahead,fine",,
40,"data,scienc","throughout,opportun,part,final,idea,govern,space,ball,keep,bill","newspap,art,valu,store,presid","affect,later,pick,six,tonight","suddenli,leader,tonight,call,success,stori,quit,realli,public,consid","road,member,suggest,follow,stock,posit,anim,call","discu,hour,consid,life,later,answer,occur,add,hard,languag,player,challeng,though,question","ten,train,watch,mr,machin,right,bring,quit,right","stay,especi,turn,parent,purpos,discu",
41,"digit,market","wish,cultur,pressur,race,woman,system,paint,place,forget,teacher,mission,spend,train,buy,mr,water,kitchen,note,total,ask,true","lot,word,last,water,buy","fine,site,race,societi,citizen,green,dream,floor,sister,long","offer,machin,tri,seriou,skin,larg","sort,prevent,report,option,factor,decis,arriv,consid,number,across,hope,fire","person,away,profession,specif,start,full,admit,number,improv,insid,signific,scienc,alreadi,option,speak,fill,despit,beat,could,everyth,interest,finish,nearli,civil,lawyer","per,consum,way,market,sens,leav,public,offer,order,manag,popul,beat,magazin,seriou,would,exist,student",,
42,"machin,learn","attorney,team,posit,pay,treat,enough,eye,offic,six,pm,effect,could,per","record,probabl,point","civil,pressur,knowledg,benefit,growth","face,first,even,realiti,whole",,,,,
43,blockchain,"admit,see,final,base,environment,thu,arriv,natur,want,option","simpli,garden,discov,languag,full,life,econom,tri","thing,left,toward,camera,economi,run,bit,defens,explain,partner,like,includ,action,civil,wonder,success,air,tabl,last,sever,fight","boy,trade,control,tv,social,tree,truth,audienc,detail,medium,leader,recent,els,custom,mr,popul,event,pick,center,time,task,lead","wife,occur,want,forward,account,size,dinner,risk,yeah,board,entir,rock,movi,research,hair,eat,believ,tonight,add,articl,throughout,firm,allow,bar,four,institut,collect,wait,alway","well,hair,north,door,relat,mention,tend,somebodi,drug,billion,specif,state","forc,note,situat,black,age,far,particip,letter,determin,model,realli,tri,small,final,resourc","american,without,drive,hour,simpli,career,prepar,nice,suffer,republican,continu,situat","enjoy,rang,mean,ground,interest,alway,seven,list,analysi,yard,per,prepar,soldier,save"
44,"artifici,intellig","coupl,meet,bank,car,respons,newspap,next,soldier,realiz,seat,notic,hour,insid,cup,brother,per,song","mother,rise,fall,home,task,tree,entir","probabl,team,half,sometim,rest,summer,road,adult,respons,rule,ground,risk,instead,leg,firm,establish,fire,road,troubl","blood,continu,across,factor,hair,question,model,start,time,boy,last,almost,live,sit,must","serv,countri,fact,mission,tough,magazin,recent,factor,year,dinner,pm,particular,nice,close,import,leg,draw,local,popular",,,,
45,sociolog,"cut,enter,million,shoulder,secur,inform,thousand,light,mention,shake,career","current,provid,address,use,commerci,open,confer","like,u,man,news,medic,risk,develop,capit,babi,paint,expert,sister,leg,big,firm,head,room,littl","cost,break,enough,televis,understand,remain,must,star,week,deal","method,institut,bank,card,take,may,local,cold,station","like,memori,seem,industri,technolog,deep,cultur,babi,lead,fight,heart,rule,church,hot,mayb,bodi,outsid,someth,properti","properti,believ,american,fear,gener,staff,five",,
46,"artifici,intellig","factor,sound,moment,support,space","realiti,yeah,articl,local,whose,town,piec,exist,tabl","part,well,bodi,feder,unit,happi,later,garden,ball,insid,medic,prove,would,doctor,threat,gun,set,food,trade,game,onto",,,,,,
47,psycholog,"anyon,movement,word,carri,control,way,dog,factor,garden,better,prepar,necessari,join,challeng,sens,design,meet,beyond,subject,properti,indic,leader,store,deep,cut,organ","visit,toward,movement,fill,must,claim,news,job,abl,mr,least,piec,pretti,talk,stay,agreement","avoid,particular,small,meet,author,hope",,,,,,
48,"person,financ","respons,carri,moment,ok,claim,degre,unit,choos,send,beyond,ahead,materi,realiti,father,three,director","ever,histori,writer,anim,meet,late,determin,reflect,plan,wind,manag,quickli,rather,analysi,exampl,back,direct,sing,chang","never,anyon,offer,win,prevent,light,less,wait,truth,analysi,born,mean","admit,current,light,provid,figur,rais,certain,offic","hit,alreadi,exist,describ,secur,ask,task,even,allow,person,reach","offer,test,old,threat,dark,deal,food,respons,happi,provid,check,perform,term,wall,start,everi","start,second,section","tri,data,forward,front,paint,brother,fast,movement,trade,lose,ten,help,messag,seat,author,hard,foot,even",
49,"environment,scienc","simpli,effect,feel,explain,lawyer,popul,write","scienc,behavior,moment,prevent,argu,stuff,ball,hope,still,exactli,red,gener,actual,degre,individu,bill,first,ball,section","yard,beauti,singl,leav,shake,form,relationship,futur,tonight,ever,like","eight,better,kitchen,measur,box,race,special,past,qualiti,avail,leav,camera,true,interest,degre,former,matter,strategi,reach,everybodi","stage,respons,make,agre,million,els,centuri,whose,look,car","crime,cold,born,chang,wait,evid,reveal,administr,take,alreadi,arriv,music,marriag","variou,wish,activ,happen,prepar,purpos,special,exampl,right,financi,method,alreadi,specif,mani",,
50,"digit,market","american,agent,institut,current,polici","sport,offici,cut,singl,none,happen,parent,support,middl,drug,three,sourc,walk,hous,state,hear,case,point,key,singl,career,laugh,insid,consid,paint","radio,ten,view,support,perhap,middl,learn,later,draw,popular,writer,put,like,simpli,kind,anyth,current,even,place,marriag,coach,quit,ball,fill,compani","realli,leg,continu,high,person,talk,blood,soon,militari,wear,behind,thu,actual,support,grow,field,anyon,follow,day,elect","produc,import,appear,full,mr,variou,stori,set,beat,behind","believ,allow,near,cost,fund,gener,sometim,posit,stage,artist,interest,quickli,respond,nice","section,matter,alway,tv,even,dream,success,profession,woman,name,especi,page",,
51,"environment,scienc","often,art,commun,import,exactli,left,accept","trade,build,want","let,visit,main,figur","relat,give,believ,threat,decis,threat,wrong,movi,stuff,insid,consid,medium,true,mind","check,citi,subject,readi,whose,model,often,among,boy,right,talk,boy,insid,alreadi,wonder,young",,,,
52,"career,develop","congress,model,room,explain,air,space,compani,anyon,attack,togeth,son,group","air,window,model,upon,rather,simpl,total,whether,site,yet,dinner,art,protect,member,ye,money,receiv,serv,charact","whole,first,build,popular,agreement","feel,tradit,power,pictur,want,year","manag,money,coach,second,letter,public,even,rock,quickli,place,polici,life,son,machin,reflect,polici,war,main,cost","posit,wrong,agent,commun,resourc,need,travel,scene,anim,data,food,final,sinc,chang,three,mani,arm,ask,assum,address,polic,environ,field,decad,across,prevent","size,hope,summer,improv,key,evid,scientist,door,well,mouth","noth,feder,although,side,hard,night,singl,machin,commerci,question,cultur,respond","finish,around,respond,room,group,bed,real,ago,ok,properti,continu,rest,network,market,color,past,top,could,futur"
53,"quantum,comput","room,happen,profession,dinner","would,billion,tv,alreadi,section","idea,signific,buy,u,author","month,pattern,year,technolog,author,noth,realli,need,exist,blood,perhap","standard,notic,market,meet,technolog,commun,want,invest,beauti,long,forget,imag,summer,everi,check,cultur,describ,perform,pattern,western,race,sure,mean,sens,draw","pretti,paint,physic,exist","day,father,air,realiti,stuff,place,imag,realiti,mani,writer,type,imag,lead,beat,allow,join","also,interview,fall,sit,brother,rememb,power,goal",
54,sociolog,"order,summer,start,market,boy,score,check,throw,upon,recogn,inde,els,cultur","radio,charg,site,insid,follow,close,citi,argu,among,sens,age,today","gun,offic,team,reason,task,note,american,singl,either,adult,sing","plan,natur,paper,compani,step,site,wish,evid,littl,money,although,cover,challeng,state,around,bank","kid,strong,back,act",,,,
55,"artifici,intellig","qualiti,red,start,mission,fish,gun,view,cultur,stock,understand,serv","daughter,tri,lose,task,recent,bit,manag,four,meet,ball,entir,usual,hot,bit,everi,commun,pa","materi,audienc,moment,guy,drop,specif,perhap,west,wonder,look","among,tonight,boy,book,eat,small,let,smile,heavi,wife,free,thought,approach,hair,better","program,age,doctor","polit,simpl,sort,start,indic,pm,box,word,rather","might,travel,gun,light,organ,fast,common,account,properti,record,debat,write,yeah","air,capit,alway,offer,leg,safe,rather,even,follow,strategi,offer,class,abl,nearli,cold,realiti,choos,summer,hous","intern,democrat,sever,tv,build,world,rememb,instead,instead,north,improv"
56,psycholog,"effort,commun,appear,let,vote,sound,score,rang,resourc,sing,east,cell,book,thank,art,song,eight,left,specif,director","pattern,find,babi,take,sure,wait,ga,receiv,bodi,receiv,today","understand,tv,dream,front,sound",,,,,,
57,"person,financ","nation,pull,abl,argu","skill,wrong,floor,contain,yeah,job,increas,doctor,onto,issu,busi,east,fear","event,tabl,site,lay,per,wear,huge,support,without,place,adult,yard,certain,beat,abil,miss,rate","pick,day,choic,although,order,month,front,expert,moment,blood","establish,push,maintain,career,form,statement,mind,societi,fire,clear,paper,execut,agreement,impact,boy,imagin,shake,lose,write,better,natur,base","institut,forward,memori,attent,behind,blood,director,simpl,speech,relationship,toward","fight,program,drug,someon,seem,trip,exampl,daughter,rich,feder,big,perhap,insid,feel,machin,languag,control,bad,court,tradit,differ,activ","stay,drop,hold,tax,idea,interest,concern,energi,scientist,turn,hit,live,director","still,pressur,garden,busi,focu,back,term,get,buy"
58,"web,develop","admit,run,member,fact,trial,song,activ,pull,would,success,store,reveal,real,newspap,writer,gener,case,control","child,probabl,servic,head,provid,goal,parent,along,hold,approach,toward,drug","exactli,enjoy,focu,season,page,candid,fast,anyon","rais,movi,half,somebodi,word,speech,town,rest,rais,sell,close,nice,end,bit,enough,night,market","countri,societi,face,fact,book,purpos,soldier,miss,sens,trial",,,,
59,"climat,chang","parent,gun,mission,reveal,name,avail","benefit,hot,ahead,season,medic,impact,father,stock,free,affect","somebodi,word,today,avoid,stay,human,train,educ,govern,home,thousand,mention,walk,stay,sit,perhap,deep,countri,medic,minut,much,face,analysi,measur,manag","set,like,new,factor,evid,task","per,open,region,tonight,economi,item,wife,lay,medium,save,air,abl,democrat,ago,even,foreign,custom,carri,special,south,mission,figur",,,,
60,"environment,scienc","kitchen,grow,throughout,exampl,capit,employe,white,treat,wear,coach","debat,risk,forc,tonight,whole,billion,rememb,left,messag,must,compani,research,offici,execut","quickli,turn,institut,check,maintain,choic,simpl,soldier,land,major,articl,true,final,deep","manag,specif,explain,despit,shoulder,wonder,top","laugh,campaign,door,trade,hous,establish,statement,effect,agreement,discuss,bag,suggest,includ,face,citizen,think,popul,avail","also,ground,materi,outsid,respons,south,man,rate","report,knowledg,fast,product,wall,hot,mayb,necessari,full,see","month,job,admit,either,radio,hear,variou,outsid,noth,assum,work,air,ever",
61,blockchain,"style,adult,west,perform,time,manag,televis,militari,mind,away,attack,southern,hope,involv,mention,commun,later,less,say,specif,hous,number,vote,discov,car,add","tax,bank,father,lot,sister,fact,worker,paper,readi,card,articl","full,indic,prove,manag,daughter,differ,energi,popul,oil,cell,car,store,expect,commerci,write,let,firm,bodi","prepar,easi,challeng,board,turn,mind,note","technolog,black,watch,qualiti,put,produc,point,radio,realiti,catch,foreign,base,despit,howev,rock","stock,defens,affect,seven,nation,beyond,cours,probabl,account,popul,even,home,wear,stand,polit","around,onto,door,crime,product,happen,across,father","play,win,paint,air,assum,includ,two,board,could,hand,realiz,countri,area,method,process,carri",
