question_id,topic_tokenized,answer_item_1_tokenized,answer_item_2_tokenized,answer_item_3_tokenized,answer_item_4_tokenized,answer_item_5_tokenized,answer_item_6_tokenized,answer_item_7_tokenized,answer_item_8_tokenized,answer_item_9_tokenized
411,"web,develop","star,cover,school,blue,glass,look,sign","heavi,tri,public,charact,mind,movi,govern","mission,interest,daughter,commerci,never,none,natur,staff,bar,american,mouth,movement,school,person,peac",,,,,,
412,sociolog,"law,road,program,man,everi,administr,dream,nice,agre,economi,last,paper,modern,voic,weight,pa","group,democrat,practic,social,level,might,key,someon,speak,paper,sourc,consum","wind,none,open,current,much,along,worri,least,catch,make,want,road,worker,green","hundr,lose,smile,model,commerci,doctor,watch,smile,pictur,good,main,mean,improv,environ,fund,produc,bank,pick,increas,technolog,comput,bill,past,daughter,record","recent,marriag,drive,polic",,,,
413,"health,fit","matter,say,much,southern,four,road,includ,particularli,call,western,knowledg,right,ago,special,light","social,light,purpos,sens,kind,ground,dinner,respond,situat,becom,price,bit,author,late,medium,seven,across,daughter,common","church,market,friend,start,less,big,treatment,wear,page,five,econom,young,share,per,best,read,money,attorney,bad,check","happi,alon,leg,ten,pa,big,colleg,clear,may,shake,husband,two,per","adult,ahead,gener,serv,form",,,,
414,"climat,chang","memori,avoid,write,militari,last,per,ye","white,manag,friend,mission,huge,rule","concern,build,religi,offer,institut,state,station,friend,possibl","travel,polici,prevent,treatment,last,season,order,oil,standard,militari,church,technolog,democrat,real,fish,window,throughout","fund,ahead,today,nation,question,fine,view,organ,offic,consum,stay,wonder,worker,son,buy,bed,effort,break,go,alon,art",,,,
415,"data,scienc","foreign,plan,elect,writer,ok,hous,beat,space,stand","lot,strong,phone,speech,stand,make,languag,major,earli,return,wish,right,american,manag,learn,lay,feder,land,societi,man,daughter,fund,visit,ahead,top,bad,second,news,heart,travel,quickli,yet","marriag,studi,western,articl,near,everybodi,air,rule,report,boy,entir,doctor",,,,,,
416,psycholog,"manag,lay,institut,fact,major,polic,suggest,director,simpli,push,custom,middl,door,treat,resourc,least,choic,nation,respons,dog","song,someth,work,purpos,growth,scene,particularli,shake,respond,standard,billion,mayb,black,certainli,support,mouth,economi,figur,base","tax,wish,south,affect,spring,writer,western,forward,site",,,,,,
417,cybersecur,"new,speech,bar,fund,town,end,posit","stock,discuss,use,part,base,tonight,degre,floor,shake,senior,someon,relationship,offici,coupl,practic,experi,throughout","agreement,colleg,give,month,later","third,pay,reveal,mention,appear,everyth","contain,thu,hotel,gener,offici,fine,bad,five,blood,build,easi,argu,current,interest,fact,fund,babi,oper,boy","major,figur,impact,differ,nearli,sit,role,program,knowledg,catch,ahead,hard,artist,theori,focu","studi,issu,success,unit,coupl,like","old,polic,pay,imag,democrat,perform,night,futur,fact,agenc,third,lose,far,money,televis,process,hard,firm,studi,child,key",
418,"health,fit","least,rock,defens,toward,oil,certainli,foot,similar,fight,school,commerci,relat","collect,purpos,administr","mr,expect,differ,morn,prepar,usual,budget,somebodi","fear,exampl,final,ye,blue,rang,hour,suffer,pattern,impact","north,readi,face,work,bank,either","board,feel,u,stuff,teach,check,common","sometim,fli,safe,drive,phone,game,professor,accord,read,answer,mouth,go,even,vote,go,establish,member,result,suffer,discuss,health",,
419,"machin,learn","learn,televis,abil,simpl,unit,gun,readi,fund,kitchen","commerci,especi,piec,step,thousand,certainli","cost,paint,presid,differ,statement,drive,skill,affect,contain,market,street,exactli,feel,polit,question,reflect,later,realiti,agre","fight,professor,let,rate,water,gener,anoth,educ,shake,differ","seriou,line,differ,boy,busi,add,high","treat,hospit,would,star,seek,blood,today,could,program,wish,paint,model,import","scientist,name,confer,benefit,fear,pa,physic,offici,relat,product,half","difficult,could,late,big,attorney,entir,establish,pa,skill,hotel,money,southern,tonight,seat,word,lot,film,hear,ago,win,abil,eye",
420,cybersecur,"wall,properti,rich,attack,mention,prevent,race,best,treatment,oper,score,report","young,room,oper,upon,might,particular,understand,cup,rate","industri,mission,administr,use,develop,accept,gener","democrat,fight,economi,build,move,writer,type,everi,test,sever,elect,ago","claim,charact,appli,team,join,inde,dream,research,near,seriou,item,eight,centuri,form,first,least,usual,signific,middl","car,human,materi,machin,arriv","hand,join,front,team,bodi,health,room,inform,product,interest,prepar,thousand,mr,easi,art,product,manag,seriou,wife,wait,drive,readi",,
421,"climat,chang","sign,speak,doctor,particularli,three,discu,religi,ball,bank","board,later,nation,cut,bag","discu,boy,crime,trial,best","militari,discu,way,director,per,test,keep,say,view,wonder,page,anim,skin,respons,bag,process,thu,singl,land,custom,decis","magazin,forc,street,smile,somebodi,standard,lay,agenc,daughter","lawyer,activ,note,scienc,debat,speak,valu,read,man,view","cultur,hour,season,make,arm,role,read,bed,administr,ye,keep,left,show,place,age,poor,establish","ten,probabl,organ,occur,land,shake,call,argu,tv,custom,husband,major,ball",
422,"person,financ","make,seven,manag,structur,sort,side,final,tradit,treatment,busi,financi,seek,must,old,fund,world","man,throw,process,confer,get,gun","still,add,million,effect,special,kitchen,despit,train,weight,sort,free,sea,consid,onto,support,success,agent,set,purpos,skin,number,administr","law,return,term,order,machin,run,spend,evid,clearli,peac,educ,step,crime","enough,camera,cell,sever,involv,save,imagin,money,includ,peopl,bill,yet,suggest,data","join,particip,compani,author,deep,wife,child",,,
423,"environment,scienc","new,arriv,tough,particular,confer,wonder,rather,respons,colleg,pressur,reach,throw,concern,busi","assum,camera,share,boy,continu,hospit,project,get,degre","natur,perhap,walk","school,fall,group,remain,realli,lay,letter,marriag,red,team,food,machin,alway,reduc,door,tough,heart,final,everi,view,agreement,explain,act,sport",,,,,
424,sociolog,"buy,beyond,howev,half,line,sinc","might,oper,author,without,may,soldier,avail,wide,behind","agent,arriv,instead,recogn,onto,woman,task,hour,plan,model,religi,amount,allow","give,among,establish,suddenli,job,prevent,area,former","involv,thank,economi,modern,action,worker,worker,polici,surfac,forget,human,respond,rang,store,threat,action,within,without,sort,ye,morn,instead,smile,comput,consid,import,way,develop,american,yeah,maintain","religi,claim,repres","maintain,anoth,use,woman,feel,larg,everi,anyon,season,smile,nearli,behind,prevent,trip,tonight,mission,also,soldier,yet","sever,hope,top,bring,member,step,back,last,effect",
425,"space,explor","profession,game,play,theori,sport,second,challeng,tri,materi,smile,red,board,civil,indic,ask,studi,small,three,long,polit,guy,mean,lead,choos,effect,suffer",southern,"edg,treat,idea,make,polit,collect,green,area,profession,cultur,put,fast,busi,moment,readi,stay,natur","final,letter,democrat,inform,posit,success,individu,section,three,scienc,nice",,,,,
426,"health,fit","minut,soldier,son,ahead,group,reason","leav,purpos,door,coupl,buy,profession,later,militari,relationship,pressur,littl,must,model,five,dinner,line,sell,moment,huge,intern","address,everybodi,kind,movi,arriv,histori,tradit,event,educ,abil","heart,relat,director,administr,hand,level,energi,event,financi,coupl,final,career,avoid,reduc,detail,need,allow,woman,ago,seat,believ,like,race,memori,shake","machin,show,research,newspap,stori,full",,,,
427,"climat,chang","anoth,fli,catch,station,manag,bit,even","billion,time,readi,upon,begin,certain,sometim,countri,type,economi,fast,charact,line,democrat,kid,spend,coach,seat,fli,former,stock,agreement,board,trade,option,home,first,parent,hair","best,cultur,main,stop,enough,even,recent,method,receiv,recent,assum,discu","back,set,window,hospit,around,focu,discov,tonight,best,road,nation,miss","offici,man,church,audienc,happen,new,experi,age,respons,low,perform,rich,perhap,current,requir,bag,fact,budget,box,natur,major,sing,civil,dog","collect,mr,thu,price,bar,effect,must,campaign","thu,cell,offici,right,hair,day,standard,increas,fire,enter,art,tell,messag,pictur,comput,professor,benefit,repres,run,singl,movi,person,bed,physic","art,toward,difficult,other,friend,later,meet,air,though,sourc,train,tree,tradit,stuff,word","size,back,light,anoth,effort,countri,cultur,room,dog,billion,stay,lot,ago,within,anyon"
428,"machin,learn","thought,player,full,see,miss,free,region,resourc,share,american","respons,step,anyon,friend,learn,consid,chang,medium,forward,confer","sometim,order,board,choic,effort,degre,say,imagin,black,hot,occur,receiv,push,short,author,describ,push,howev,discov,democrat,perform,system","suddenli,dog,someth,differ,fear,southern,pick,deep,thank,three,end,custom,posit,pictur,technolog,fire,strong,product,mission",,,,,
429,blockchain,"person,board,clear,often,power","break,score,bank,nearli,write,especi","thu,station,forget,easi,involv,north",,,,,,
430,sociolog,"stuff,point,hour,former,thank,machin,sort,respons,church,record,doctor,return,exactli,accord,real","easi,valu,visit,respons","realiz,commun,understand,agent,wait,land,case","pretti,pressur,time,place","popular,pull,intern,hospit,leader,differ,world,enjoy,impact,word,skill,base,collect,pattern,smile,travel,consid,window,find,enter","blood,custom,watch,readi,word,employe,line","rock,add,must,paint,end,employe,arm,industri","also,leg,film,evid,western,blood,interest,attent,summer","natur,report,voic,even,space,author,name,star,kind,realiti,prevent,person"
431,entrepreneurship,"road,environ,rais","social,soon,fli,take,key,societi,thu,player,though,work","heavi,glass,effort,avoid,technolog,blood,oil,inde,ye","dream,center,nice,shoulder,budget,ten,imag,air,cours,growth,could,nearli","capit,build,difficult,major,babi,small,worker,near,throughout,account,project,boy,stand,benefit,deep,challeng,two,popular,blue,direct",,,,
432,"career,develop","scientist,parti,wide,blood,mouth,elect,nearli,hot,cup","rich,cultur,make,store,mr,either,mayb,togeth,second,see","food,cost,read,marriag,sit,middl,light,law,eat,rate",,,,,,
433,histori,"truth,call,energi","commerci,yard,sign,confer,howev","u,court,fear,white,pm,democrat,day","assum,new,democrat,health,method,wall,kind,teach,risk,two,suffer,best,audienc,away",,,,,
434,"climat,chang","heavi,establish,bank,littl,compani,water,month,especi,kind,train,book,grow,ga","space,issu,simpli,water,studi,perhap,develop,new,citizen,last,success,reach,per,outsid,simpl,might,great,author","messag,free,rather,eight,move,act,husband,posit,confer,fall,gun","variou,custom,fear","number,none,physic,middl,discuss,meet,war,fight,north","speak,quickli,earli,give,address,probabl,kind,order,forget,see,centuri,right,histori,issu,local","economi,draw,tabl,discov,employe,interest,howev,town,past","point,evid,form,offic,three,gener,seri,recent,night,rise,buy,six,campaign",
435,histori,"play,sea,first,win,design,compani,oper,choic,articl,follow,catch,economi,noth,everyth,sign,base,centuri,particularli","list,weight,old,magazin,hit,task,old,discu,protect,nice,particip,drug,democrat","servic,old,charact,other,phone,type,white,rule,event,pattern,theori,goal,manag,howev,account,develop,program,light,condit,drug,improv,hot",,,,,,
436,cybersecur,"tabl,race,speech,compar,perform,manag,congress,quickli,would,challeng,factor,watch,break,messag,first,around,growth","similar,admit,class,decid,minut,firm,hand,avail,name,church,decis,newspap,product,also,drive,scientist","build,discu,expert,experi,condit,adult,avoid,differ,fund,research,feel",,,,,,
437,blockchain,"present,father,half,financi,paint,pattern,memori,often,instead,effort","issu,staff,right,issu,sign,adult,war,movement,rise,mind,reflect,abl,affect,perform,sound,goal,toward,develop,strategi,war,rate,attorney,final,current,must,valu,film,return,man,allow,star","radio,kind,author,includ,mind,camera,born,human,newspap,futur,box,anim,happen,rather,phone,foot,eat",,,,,,
438,"space,explor","treat,accord,treat,sometim","colleg,produc,human,surfac,fish,goal,mani,space","kid,debat,form,shake,short,industri,suggest,avail","also,movement,peac,group,space,els,strategi,data,physic","stand,offer,everi,administr,abil,right,note,oil,charg,feel,rich,tri,bill,lay,institut,special,idea,million,space,feel","specif,past,agreement,without,attent,perform,stage,kitchen,two,seri,simpl",,,
439,"environment,scienc","signific,everybodi,total,food,top,small,look,green,away,though,beat,dark,abl,friend","forget,enjoy,account,somebodi,thing,cell,late,break,laugh,invest,act,usual,best,serv,recent","action,region,month,address","power,place,contain,resourc,prevent,hold,hope,watch,offic,theori,enter,firm,colleg,shake,mouth,remain,particular,old","other,reflect,stop,focu,alon,tradit,skill,key,realiz,full,bring,subject,fact,wide,suggest,start,foot,forc,thousand,main,loss,similar","reveal,relationship,clearli,way,tell,first,throughout,sometim,popular,sever,card,abl,moment,perform,attack,offici,card,amount,star,dog",,,
440,"artifici,intellig","seek,local,industri,deal,littl,later,well,nearli,gun,produc,woman,matter,wall,care,light","surfac,per,republican,truth,base,even,attent,catch,approach,see,win,process,area","improv,rise,teacher","walk,even,option,must","bar,offer,product,interest,major,star,program,might,place,thought","figur,radio,administr,well,mouth,add,window,pressur,larg,modern","head,adult,unit,consum","hard,area,indic,care,interview,whole,offer,nation,subject,soldier,store,word,north",
441,"space,explor","network,thank,babi,produc","everi,difficult,green,race,close,pay,quit,entir,sell","lot,plant,religi,truth,bank,step,stage,mr,mind,note,rang","whatev,yeah,price,clear,clearli,level,thu,car,amount,design,rather,head,budget,law,bit,repres,possibl,big,pattern,popular,take","cultur,reach,summer,hous,happi,practic,without,bank,readi,senior","enough,pressur,born,train,earli","hit,clear,third,mr,health,sort,manag","easi,worker,anyon","high,truth,whatev,often,suffer,special,busi,fast,suffer,player,current"
442,"artifici,intellig","variou,feel,usual,time,paint,seek,social,star,big","support,posit,variou,care,glass,creat,wind,sound,affect,enough,edg,hair,involv,messag,machin,black,million,strategi","maintain,doctor,manag,babi,knowledg,market,capit",,,,,,
443,"quantum,comput","give,rang,tabl,system,spring,page,fli,make,differ,commerci,level,daughter,entir,respons,put","let,effect,feel,entir,specif,front,determin,secur,polic,put,howev,research,case,check,must,program,reveal,blue,crime,voic,studi,discov,mayb,arm,think,republican,fast","least,well,hand,protect,collect,street,hard,standard,first","eye,control,pictur,around,ever,mind,throw,daughter,deal,realiz,appear,expert,million,shake,environ","forc,famili,mayb,parti,question,profession,past,sometim,ten,last,cover,pm,door,seven,exactli",,,,
444,histori,"intern,standard,whatev,hospit,town,hospit,major,democrat,anim,economi,believ,listen","cultur,show,travel,six,feel,throughout,good,exist,far,front,view,smile,opportun,good,exist,card,occur,issu,articl,alreadi,live","east,develop,great,drive,writer,leg,although,anim,per,consum,woman,mouth",,,,,,
445,"space,explor","six,someth,actual,anoth","colleg,paper,money,stop,game","court,requir,oper,happi,avoid,area,face,adult,station,agent,serv,prevent,clearli,call,rise",,,,,,
446,"machin,learn","cost,ok,focu,case,last,find,centuri,top,safe,arriv,tend,appear,camera,year,polit,imagin,writer,blood,area,everyth,everyon,appear,though","region,challeng,noth,thank,night,last,interview","per,sinc,six,pm,energi,yard,seriou,machin,evid,plan,per,treat,number,mr,man","writer,summer,catch,human,consum,manag,among,chang,part,charg,art,common,know","even,pay,parti,individu,person,much,light,plant,agenc,mean,attent,word,free,end,everyth,half,ask,provid,per","join,bit,action,finish,still","middl,order,relationship,mission,cut,watch,popular,new,troubl,interest,half,rock,mani,form,law,thing,fish,test,five,mother,could,realiti,attorney,take,hit,light",,
447,"climat,chang","notic,score,member,across,beat","street,offic,set,structur,dark,behind,church,ball,focu,u,scienc,thought,cell,technolog,rise,bill,risk,polit,leader,place,condit,floor,spring,model","respons,interest,busi,qualiti,amount,social,right,paper,seri,might,confer,manag,one","land,garden,ball,buy,bad,natur,local,feel,end,recent,lawyer,tough,shoulder,movement,even,short,choic",,,,,
448,"health,fit","abil,speak,citi,cours,execut,meet,give,go,hous","argu,beat,term","whole,discuss,feel,variou,cold,top,pm","would,pattern,full,cost,tax,compar,contain,mean,hous,clearli,parti,stuff,certain,step,leader,world,matter",,,,,
449,sociolog,"mention,control,way,leader","miss,total,purpos,mean,famili,fall,option,attorney,keep,paint,mean,bank,usual,almost,half","race,son,rather,result,method,intern,magazin,class,better,break,program","stop,continu,individu,entir,quickli,firm,could,number,time,agenc,yeah,approach,program,commerci,chang,think,hear,team,admit,think,newspap,write","current,establish,cover,final,current,intern,last,blue,charact,work,wide","part,question,natur,team,especi,worri,agent,live,writer,partner,especi,bag,item,threat,peopl",,,
450,robot,"mayb,centuri,imagin,professor,major,work,occur,still,size,els,futur,busi,pattern,half,administr,thank,clearli,someon,film,address,manag,buy,hand,present,polit,particularli","seriou,present,perform,arm,forward,grow,pay,bank,particularli,song,control,provid,air,sing,middl,say,late,discov,howev,receiv,whole,say,entir","suddenli,newspap,discu,item,minut,hair,larg,valu,paper",,,,,,
451,"climat,chang","rather,next,respons,partner,memori,choic,produc,human,social,popular,poor,experi,movi,draw","behavior,answer,sever,includ,standard,hundr,tonight,mention,need,new,piec","child,five,still,tv,paint,budget,ok,push,low,half,vote,well,half,structur","ground,intern,exampl,intern,polit,specif,interest,grow,father,reason,size,cours,attack,month,reach,amount,like,often,prepar,intern,next,poor","technolog,societi,newspap,base,discu","like,tough,paint,everybodi","particip,song,cold,teach,brother,seriou,stage,fill,student,reflect,week,ahead,pa,amount,campaign,articl,unit,focu,data,argu",,
452,educ,"affect,decis,scientist,public,think,take,close,posit,four,anyon,stock,bit","gener,reflect,low,major","administr,societi,suggest,prepar,state,close,church,stage,process,guess,per,drive,woman,start,ok",,,,,,
453,psycholog,"write,believ,gun,bank,stori,relat","want,skin,still,still","dream,leg,coach,back,movement,environment,chanc","thousand,turn,ever,bill,expect,candid,style,special,often,social",,,,,
454,"space,explor","begin,pm,nearli,republican,woman,lead,attent,top,letter,hit,clear,variou,establish,spring,thought,hot,pretti,first,budget","get,suffer,weight,yeah,busi,might,reduc,red,situat,articl,memori,like,plant,recogn,explain,feel,partner,els,thing,write,rang,particular","import,three,fund,thing,recent,figur,push,begin,method,noth,end,attorney,owner,blue,stuff,import,blue,recogn,particip,eye,answer,scienc,experi,give,model,husband,radio","charg,bill,impact,without,establish,record,wall,possibl,also,fall","star,test,cup,mission,one,enter,letter,anyth,anoth,invest,kitchen,light,line,deep,messag,requir,stop,get,sea,recent,nice,mr,pay,respond,protect,staff,gener","one,recent","attent,stand,instead,involv,gener,imag,paint,artist,fli,offic,much,foreign,technolog,fire,detail,know,inform,collect,kid,appear,requir,worri,suddenli,art","rais,network,lawyer,mind,tax,citi,morn,exist,reason,leg,compar","heavi,dark,note,option,citizen"
455,educ,"door,power,item,line,bank,wind,recent,data,per,past,camera,colleg,process,govern,sit,sometim,worri,find","although,effort,use,note,relationship,seriou,short,south,teacher,head,case","hear,els,reflect,day,deal,southern","invest,risk,social,start,enough,rate,kid","visit,box,tri,figur,board,alreadi,win,land,radio,nice,like,manag,sit,upon","test,money,grow,organ,answer,account,paper,establish,articl,less","success,guy","window,interest,job,full,class,write,arm,home,long,centuri,think,spend","stay,game,support,memori,countri,stop"
456,"space,explor","certain,els,within,blood,end,democrat,firm,reduc,offic,presid,movi,agre,presid,method","activ,break,happi,thank,gun,away,feel,check,air","candid,medium,big,indic,feder,growth,occur,hand,similar,manag,lawyer,threat,posit,decad,oper",,,,,,
457,"digit,market","secur,south,avoid,suddenli,tax,guy","strong,move,save,travel,anim,famili,news,find,feder,sever,age,buy,ago,televis,look,rich,congress","alon,among,dream,throw,offic,suddenli,valu,societi,ask,center,account,often,mani,catch,enter,success,forward","meet,oil,check,spend,event,togeth,would,troubl,region,owner,ten,bodi,within,brother,weight,treatment",,,,,
458,"person,financ","fast,natur,ask,think,paint,capit,lead,noth,box,enjoy,bar,statement,week,enter,ground,senior,energi,senior,deep","polit,larg,respons,public,abl,cost,sport,hospit,center,almost,visit","sing,materi,fund,howev,paint,move,part,build,forget,includ,anim,dinner,newspap,player,hit,turn,tree,onto","market,discuss,financi,staff,name,avoid,tend,properti,turn","direct,cut,old,forget,wall,educ,produc,effort,sourc,mission,stop","news,clear,air,page,career,even,must,approach,hospit,histori,start,seek,religi,occur,cultur,like,maintain,trade,deep,team,nearli,great,lawyer","agreement,even,end,provid,miss,expert","born,action,hard,result,friend,polit,ask","sens,lead,feel,would,almost,treatment,govern,anyon,center,high,record,guess,hit,billion"
459,"climat,chang","soldier,littl,set,lot,social,thought,charg,remain,would,mind,chair,avoid,approach,back,morn,improv,affect,countri,simpli,religi,languag,structur,rest,appear,chair,sell,help","rest,busi,help,campaign,congress,glass,eye,return,bed,believ","local,rule,less,gun,good,decid,brother,includ,leader,seriou,pm,indic,probabl,forc,final,per,dog,reduc","rest,land,wind,game,thing,yeah,newspap,walk,system,research,home,away,record,manag,mani,receiv,yeah,case",,,,,
460,"machin,learn","foreign,move,behavior,woman,dog,mother,good,movi,simpli,play,low,trip,job,goal,rich,short,report,valu,coupl","woman,test,mr,look,seri,man,collect,laugh,treat,point,hand,big,sort,increas,realiti","upon,commerci,feder,plant,newspap,near,buy,seri,lot,heavi,let,comput","present,littl,fast,sign,articl,fli,social,result,interest,realiz,total,high,across,pick,explain,expect,degre,station","goal,drop,role","citizen,skill,allow,order,mr,lose,mission,someth,new,career,go,still,quit,visit,chanc,month,process,design,popul,road,carri,summer,begin",,,
461,"person,financ","foot,human,pm,attorney,chair,ahead,true,new,side,els,size,though,natur,director","high,use,whether,blood,custom,develop,huge,yet,heart,local,studi,speak,away,left,quit","troubl,whose,manag,brother,matter,abil,phone,front,board,small","local,famili,medium,budget,develop,ten,also,inde,ahead,worker,thought,play,reach","interest,wait,career,suggest,suddenli,oil,accept",,,,
462,"health,fit","fine,fine,western,child,societi,top,friend,product,site,happen,carri,parti,littl,old,step,light,discuss,person","dream,beauti,also,comput,oil,game,may,draw,whose,clearli,real,war,yet,ball,ground,consid,treat,knowledg,class,million,reveal,feel,provid","fli,hold,develop,fast,small,properti,game,director,check,see,medic,even","thank,offer,wonder,close,discu,forward,citizen,skin","seriou,import,write,ahead,whose,commerci","medium,put,chair,want,outsid,suggest,particularli,news,presid,sometim,pressur,even,pull","condit,industri,recent,factor,nice,govern,scene,colleg,tough,laugh","avoid,soldier,crime,interest,paint","note,western,artist,home,half,tell,earli,mention,appear,human,fall,letter,main,special"
