Unnamed: 0,question_id,question_text,topic,answer_item_1,answer_item_2,answer_item_3,answer_item_4,answer_item_5,answer_item_6,answer_item_7,answer_item_8,answer_item_9
10,11,"['six', 'turn', 'interest', 'ago', 'discus', 'realiti']","['career', 'develop']","['polici', 'exampl', 'much', 'public']","['walk', 'fall', 'establish', 'whether', 'physic']","['hour', 'beyond', 'analysi', 'week', 'mission', 'forward']","['cultur', 'model', 'minut', 'subject', 'financi', 'collect', 'method', 'million', 'star', 'stock', 'polit', 'former']","['idea', 'attent', 'qualiti', 'age', 'alreadi', 'employe', 'compar', 'inform', 'main', 'father', 'put', 'vote', 'rais', 'trial', 'effort', 'recent', 'glass', 'occur']","['mayb', 'order', 'execut', 'set', 'throw', 'feder', 'memori', 'alway', 'student', 'servic', 'bad', 'make', 'air', 'seriou', 'popular', 'case', 'congress', 'still', 'intern', 'seven', 'requir']","['enjoy', 'level', 'share', 'everybodi', 'visit', 'write', 'confer', 'singl', 'sure', 'group']","['whether', 'teach', 'pas', 'keep', 'el', 'financi', 'former', 'road', 'father', 'north', 'gener']","['medium', 'special', 'popular', 'consid', 'final', 'candid', 'figur', 'inform', 'present', 'industri', 'central', 'reveal', 'choos', 'dinner', 'audienc', 'final', 'page', 'although']"
11,12,"['yet', 'money', 'book', 'deal', 'claim', 'consum', 'plan']","['environment', 'scienc']","['draw', 'prevent', 'detail', 'account', 'crime', 'sometim', 'financi', 'check', 'mouth']","['strategi', 'admit', 'perform', 'mani', 'bank', 'power', 'book', 'visit', 'laugh', 'reduc', 'rule', 'fish', 'posit', 'properti', 'hospit']","['languag', 'southern', 'economi', 'subject', 'u', 'offici', 'defens', 'forget', 'mind', 'hand', 'win', 'alway', 'town', 'level', 'event', 'write', 'miss', 'stuff', 'buy', 'prevent', 'dream', 'though', 'like']","['degre', 'billion', 'administr', 'scienc', 'matter', 'littl', 'writer', 'skin', 'reduc', 'hair', 'quickli', 'get', 'polit', 'final', 'worker']","['hope', 'without', 'abil', 'great', 'degre', 'accord', 'produc', 'right', 'day', 'plan', 'peac', 'like', 'particip']",,,,
12,13,"['safe', 'fill', 'support', 'threat', 'pull', 'space', 'bear', 'manag', 'rang', 'prove']","['climat', 'chang']","['leg', 'whatev', 'unit', 'form', 'effect', 'window', 'structur', 'main', 'effort']","['attent', 'signific', 'call', 'imagin']","['meet', 'gun', 'particularli', 'partner', 'quit', 'inde', 'coach', 'forc']","['record', 'appli', 'tell', 'daughter', 'right', 'road', 'execut', 'morn', 'simpli', 'includ', 'state', 'abil', 'camera', 'signific', 'inform']","['manag', 'first', 'mission', 'player', 'seri', 'past', 'caus', 'model', 'machin', 'properti', 'report', 'although']",,,,
13,14,"['meet', 'prepar', 'stuff', 'expert', 'miss', 'coach', 'boy', 'color', 'report', 'catch', 'sure']","['environment', 'scienc']","['chanc', 'feder', 'win', 'live', 'relationship', 'perform', 'list', 'crime', 'home', 'babi', 'list']","['rule', 'societi', 'prevent', 'ground', 'season', 'add', 'place', 'public', 'situat', 'state', 'custom', 'central', 'get', 'total']","['prevent', 'less', 'affect', 'local', 'half', 'red', 'right', 'task', 'earli', 'book', 'whose', 'nation', 'space', 'despit', 'abil', 'high']","['realiz', 'week', 'note', 'watch', 'per', 'central', 'floor']","['dinner', 'score', 'campaign', 'decis', 'sourc', 'troubl', 'long', 'tree', 'director', 'everybodi', 'price', 'import', 'televis', 'fund', 'lead', 'describ', 'employe', 'six', 'site', 'hotel']","['noth', 'mani', 'detail', 'idea', 'threat', 'noth']","['ye', 'chanc', 'cover', 'rise', 'decid', 'order', 'good', 'high', 'doctor', 'state']","['close', 'improv', 'challeng', 'imagin', 'senior']",
14,15,"['elect', 'wish', 'skin', 'guy', 'agreement']","['web', 'develop']","['subject', 'approach', 'whether', 'debat', 'item', 'rate', 'make', 'earli', 'grow', 'everybodi', 'read', 'knowledg', 'process', 'admit', 'begin', 'rememb', 'establish']","['station', 'feel', 'agent', 'ago', 'sit', 'give', 'particip', 'soon', 'scienc', 'tv', 'writer', 'effort', 'offic', 'seek', 'write', 'magazin', 'reveal', 'type']","['exampl', 'give', 'left', 'pas', 'creat', 'feel', 'magazin', 'ago', 'camera', 'teach', 'requir', 'enough', 'almost', 'medium', 'issu', 'expert', 'defens', 'civil', 'financi', 'account', 'item', 'begin']","['music', 'art', 'affect', 'tell', 'interview', 'cost', 'soldier', 'writer', 'candid', 'noth', 'worri']","['reduc', 'long', 'interest', 'would', 'find', 'paper', 'class', 'militari']","['age', 'action', 'arriv', 'avoid', 'manag', 'fire', 'fall', 'treatment', 'specif', 'tree']","['enough', 'site', 'within', 'hand', 'kid', 'someth', 'becom', 'figur', 'relat', 'project', 'hand', 'enter', 'find', 'note', 'realiz']","['deal', 'effect', 'societi', 'point', 'stop', 'yard', 'drive', 'alon', 'effort', 'paper', 'polici']",
15,16,"['give', 'month', 'histori', 'mani', 'name', 'account', 'share', 'dog', 'audienc', 'everyon']",['psycholog'],"['view', 'energi', 'live', 'would', 'detail', 'coupl', 'occur', 'level', 'decis', 'year', 'seriou', 'economi', 'agre']","['respond', 'marriag', 'wall', 'republican', 'career', 'author', 'model', 'rule', 'view', 'materi', 'physic', 'tell']","['size', 'rate', 'central', 'gener', 'minut', 'pick', 'societi', 'find', 'hospit']","['whatev', 'success', 'bad', 'anoth', 'room', 'outsid', 'pay', 'beat', 'worker', 'may', 'soldier', 'possibl', 'affect', 'sing', 'mission']","['tell', 'modern', 'oper', 'turn']","['cold', 'idea', 'maintain', 'point', 'night', 'book']","['make', 'fire', 'attack', 'becom', 'huge', 'process', 'doctor', 'abl', 'pick', 'none', 'watch', 'write', 'onto', 'compani', 'tv', 'even', 'properti', 'focu']","['wind', 'somebodi', 'clearli', 'bit', 'field']","['owner', 'like', 'stop', 'follow', 'three', 'sing', 'hold', 'issu', 'profession', 'skill', 'news', 'onto', 'discus', 'stage']"
16,17,"['wonder', 'even', 'throw', 'somebodi', 'collect', 'actual', 'accord', 'guy', 'specif', 'across', 'buy', 'think', 'shake', 'allow', 'sever', 'usual', 'dream', 'hear', 'upon']",['educ'],"['anoth', 'invest', 'noth', 'month', 'idea', 'race', 'administr', 'read', 'interest', 'answer', 'wonder', 'factor', 'radio', 'hour', 'singl', 'polic', 'late', 'admit']","['nice', 'summer', 'read', 'physic']","['leader', 'go', 'type', 'noth', 'imag', 'view', 'control', 'moment', 'consum', 'anyth', 'level', 'natur', 'relat', 'discov', 'nation', 'includ', 'polic']","['speech', 'beat', 'may', 'rock', 'audienc', 'group', 'stuff', 'model', 'chanc']","['feder', 'cover', 'day', 'feel', 'get', 'data', 'simpl', 'white', 'drug', 'other', 'sing', 'factor', 'score', 'certainli', 'tri', 'execut', 'past', 'way', 'believ', 'practic', 'continu']","['process', 'color', 'song', 'prevent', 'republican', 'yet']",,,
17,18,"['avoid', 'relat', 'toward', 'organ', 'commun', 'success', 'full']","['digit', 'market']","['dark', 'system', 'wrong', 'dinner', 'even', 'sell', 'mention', 'offic', 'employe', 'scienc', 'record', 'hard', 'court', 'view', 'theori']","['season', 'billion', 'somebodi', 'someth', 'societi', 'hundr', 'research', 'sign', 'follow', 'know', 'singl', 'white', 'agent', 'line', 'expect', 'though', 'caus', 'behind', 'push', 'leav', 'recent', 'cut', 'full']","['leg', 'middl', 'turn', 'half', 'differ', 'agreement', 'determin', 'major', 'blue', 'eight', 'kitchen', 'econom', 'meet', 'public', 'pressur', 'court', 'feel', 'movement', 'consum', 'civil', 'pay', 'address']","['suddenli', 'run', 'term', 'suggest', 'specif', 'standard', 'manag', 'oil', 'behind']","['turn', 'follow', 'care', 'hard']",,,,
18,19,"['glass', 'unit', 'entir', 'area', 'challeng', 'exist', 'cell', 'chanc', 'leave', 'rememb', 'posit', 'capit', 'admit', 'forward', 'decid']",['sociolog'],"['perhap', 'readi', 'certainli', 'thing', 'road', 'ago', 'area', 'final', 'go', 'team', 'fish']","['page', 'sing', 'weight', 'later', 'result', 'everi', 'someth', 'shoulder', 'moment']","['garden', 'card', 'instead', 'right', 'attent', 'kid', 'pattern', 'accord']","['though', 'rather', 'evid', 'success', 'bed', 'nearli', 'hospit', 'consid', 'former', 'secur', 'maintain', 'fill', 'import', 'everybodi', 'site', 'leader', 'popul', 'next', 'rest', 'indic', 'rather', 'determin', 'cultur']",,,,,
19,20,"['challeng', 'cost', 'differ', 'particular', 'west', 'ga', 'noth', 'evid', 'challeng']",['sociolog'],"['relat', 'religi', 'model', 'dark', 'social', 'issu', 'cover', 'step']","['entir', 'secur', 'buy', 'wide', 'like', 'field', 'exactli', 'actual', 'servic', 'seri', 'similar', 'onto', 'capit', 'stay', 'list', 'without', 'thu', 'bad', 'produc', 'tree']","['artist', 'father', 'line', 'least', 'readi', 'pas', 'care', 'build', 'moment', 'team', 'close', 'fill', 'moment', 'fear', 'thousand', 'situat', 'two', 'learn', 'cultur', 'foot', 'idea', 'want']","['note', 'teacher', 'career', 'claim']","['benefit', 'home', 'economi', 'modern', 'charg', 'coupl', 'agenc', 'common', 'mission', 'consum', 'dog', 'husband', 'safe', 'career', 'affect', 'analysi', 'wall']","['group', 'countri', 'yet', 'tonight', 'sort']","['entir', 'bit', 'physic', 'summer', 'identifi', 'thousand', 'amount', 'record', 'stand', 'eat', 'sen', 'know', 'worri', 'issu', 'social', 'agent', 'car', 'debat', 'appear', 'economi', 'total', 'tree']","['trip', 'agreement', 'product']",
20,21,"['respons', 'dinner', 'price', 'guess', 'step', 'gener', 'ground', 'total', 'road', 'perform', 'west', 'militari', 'first']",['robot'],"['throw', 'ye', 'singl', 'result', 'agre', 'capit', 'away', 'best', 'develop', 'arm', 'reach', 'rate', 'voic', 'particular', 'guy', 'compani', 'fight']","['trial', 'arriv', 'base', 'student', 'like', 'give', 'new']","['stuff', 'physic', 'bed', 'next', 'anim', 'read', 'crime', 'let', 'voic']","['campaign', 'major', 'condit', 'abl', 'parti', 'staff', 'alreadi', 'north', 'dream', 'bit', 'set', 'cover']",,,,,
21,22,"['differ', 'insid', 'prove', 'fish', 'dinner', 'practic', 'child', 'colleg', 'east', 'understand', 'abil']",['psycholog'],"['door', 'religi', 'evid', 'pressur', 'white', 'white', 'american', 'number', 'hotel']","['posit', 'finish', 'bodi', 'comput', 'rock']","['drop', 'worri', 'find', 'meet', 'page', 'commerci']","['democrat', 'must', 'profession', 'perform', 'outsid', 'summer']","['dark', 'speak', 'paper', 'stand', 'either', 'parent', 'air', 'wish', 'age', 'administr', 'live', 'futur', 'long', 'stori', 'half']",,,,
22,23,"['medium', 'short', 'best', 'record', 'presid', 'everyon', 'heavi', 'five', 'sell', 'outsid']",['entrepreneurship'],"['risk', 'power', 'lay', 'manag', 'scene', 'languag', 'modern', 'loss', 'focu', 'item', 'town', 'scienc', 'train', 'stuff', 'boy', 'kind', 'manag', 'glass', 'tradit', 'servic', 'concern', 'throughout', 'big', 'readi', 'yard']","['busi', 'front', 'inform', 'impact', 'phone', 'chair', 'boy', 'variou', 'exist', 'throw', 'democrat', 'either', 'art', 'somebodi', 'hospit', 'size', 'friend', 'head', 'set', 'probabl', 'easi', 'must', 'color', 'charact', 'never']","['fear', 'determin', 'environ', 'sing', 'around', 'civil', 'see', 'method', 'imagin', 'form', 'choos', 'instead', 'republican', 'structur', 'blue', 'factor']","['audienc', 'cover', 'owner', 'societi', 'year', 'late', 'music', 'show', 'back', 'colleg', 'drive', 'shoulder', 'often', 'thu', 'behavior', 'learn']","['avoid', 'bit', 'win', 'suffer', 'togeth', 'tax', 'insid', 'student', 'scientist', 'govern', 'social', 'give', 'side', 'choos', 'art', 'night', 'leg', 'type', 'edg', 'great', 'price', 'execut', 'star', 'east', 'choic', 'valu', 'head', 'agenc']","['modern', 'materi', 'term', 'particular', 'think', 'number']","['never', 'certainli', 'offer']","['remain', 'kid', 'see', 'line', 'know']","['beyond', 'bank', 'eight', 'candid', 'need', 'push', 'white', 'behavior', 'three', 'nearli', 'behavior', 'meet', 'west', 'former', 'forc', 'meet', 'across', 'discus', 'bar']"
23,24,"['bar', 'articl', 'glass', 'best', 'learn', 'train']",['robot'],"['citi', 'show', 'rate', 'cover', 'elect', 'hundr', 'town', 'offic', 'week', 'mission', 'trial']","['cup', 'popular', 'time', 'agre', 'well', 'husband']","['skill', 'scene', 'west', 'look', 'impact', 'door', 'film', 'hundr', 'fire', 'blue', 'ok', 'rememb', 'health', 'six', 'anim', 'major', 'oper']",,,,,,
24,25,"['high', 'sport', 'care', 'price', 'fish', 'amount', 'like', 'hold', 'role', 'pas']","['machin', 'learn']","['though', 'buy', 'hair', 'ago', 'program', 'town', 'forc', 'good', 'ground', 'read', 'along', 'win', 'religi', 'write', 'meet', 'debat']","['matter', 'safe', 'enter', 'edg', 'identifi', 'play', 'candid', 'great', 'lawyer', 'avail', 'deep', 'experi', 'possibl', 'trade', 'throw', 'popular', 'soldier', 'agreement', 'collect', 'son']","['control', 'sport', 'choic', 'seri', 'leav', 'anoth', 'rememb', 'sport', 'type', 'program', 'other', 'form', 'interview', 'custom', 'practic', 'attent', 'visit', 'fire', 'sing', 'price', 'know']","['soldier', 'woman', 'special', 'impact', 'back']","['comput', 'inde', 'tax', 'moment', 'accept', 'rate', 'speech', 'cold', 'educ', 'financi']","['region', 'man', 'establish', 'good', 'today', 'manag', 'cours', 'group']","['color', 'marriag', 'natur', 'busi', 'even', 'paint', 'artist', 'whose', 'win', 'busi', 'factor', 'financi', 'parti', 'reduc', 'shake', 'fight', 'technolog', 'put', 'work', 'less', 'democrat']","['becom', 'chang', 'research', 'night', 'eight', 'alway', 'environ', 'task', 'watch']","['enjoy', 'compar', 'centuri', 'rememb', 'polic', 'hair', 'make', 'use', 'oil', 'board', 'agenc', 'avoid', 'run', 'know', 'gener', 'state', 'peopl', 'worker', 'carri']"
25,26,"['member', 'region', 'build', 'present', 'commerci', 'arriv', 'car', 'guy']","['web', 'develop']","['quickli', 'onto', 'market', 'capit', 'word', 'piec', 'develop', 'keep', 'brother', 'pressur']","['necessari', 'suddenli', 'factor', 'kid', 'long', 'mayb', 'lead', 'first', 'oper', 'togeth']","['readi', 'laugh', 'blood', 'imagin', 'middl', 'senior', 'hard', 'pull', 'popul', 'grow', 'articl', 'abl', 'friend', 'everybodi', 'sit', 'morn', 'possibl']","['final', 'upon', 'concern', 'benefit', 'final', 'writer', 'execut', 'modern', 'camera', 'scene', 'especi', 'notic', 'hour', 'stage', 'control', 'health', 'reduc', 'charg', 'husband']",,,,,
26,27,"['condit', 'play', 'littl', 'republican', 'chanc']","['space', 'explor']","['thu', 'man', 'far', 'sever', 'kind', 'cost', 'stop', 'forward']","['militari', 'team', 'fire', 'respons', 'buy', 'home', 'side', 'laugh', 'firm', 'much', 'person', 'rais', 'film', 'dog', 'servic']","['key', 'rais', 'less', 'repres', 'eight', 'black', 'u', 'benefit', 'talk', 'detail', 'skill', 'republican', 'happen']",,,,,,
27,28,"['watch', 'suddenli', 'color', 'everi', 'sport', 'paint', 'play', 'drug', 'defens', 'often', 'offer']","['machin', 'learn']","['stori', 'cultur', 'power', 'ball', 'busi', 'special', 'project']","['field', 'differ', 'later', 'old', 'lead', 'hear', 'includ', 'special', 'practic', 'model', 'high', 'buy', 'give', 'name', 'intern']","['let', 'concern', 'peopl', 'determin', 'drive', 'room', 'anim', 'bad', 'claim', 'less', 'agre', 'visit', 'hous', 'intern', 'western', 'may', 'instead', 'growth', 'ten', 'stuff', 'far', 'offer', 'busi', 'thousand', 'win', 'water', 'differ', 'invest', 'prevent', 'consum']","['offer', 'think', 'lose', 'wide', 'side', 'answer']",,,,,
28,29,"['debat', 'wide', 'respond', 'hold', 'young', 'wall', 'enter', 'process', 'budget', 'provid', 'leader', 'music', 'fill', 'contain']",['blockchain'],"['energi', 'partner', 'push', 'alway', 'person', 'good', 'go', 'realiti', 'lot', 'polici', 'view', 'middl', 'issu', 'involv', 'environment', 'pick', 'drug', 'yeah', 'difficult', 'lose']","['collect', 'budget', 'knowledg', 'rest', 'televis', 'drop', 'fund', 'trial', 'would', 'writer', 'car', 'debat', 'behind']","['beyond', 'everi', 'account', 'busi', 'address', 'tabl']","['professor', 'blue', 'fish', 'govern']",,,,,
29,30,"['institut', 'bar', 'third', 'season', 'note', 'enter', 'hand', 'woman', 'polic', 'threat', 'recogn', 'recogn', 'collect', 'form']",['blockchain'],"['physic', 'shoulder', 'movement', 'state', 'center', 'agent']","['fear', 'evid', 'find', 'detail', 'threat', 'bad', 'high', 'degre', 'kind', 'relationship', 'audienc', 'step', 'look', 'decad', 'explain', 'sell', 'reason', 'hold']","['art', 'write', 'protect', 'start', 'challeng', 'set', 'begin', 'anyon']","['kid', 'qualiti', 'reveal', 'whose', 'feel', 'central', 'measur', 'commun', 'moment', 'mr']","['polit', 'live', 'summer', 'subject', 'hear', 'possibl', 'countri', 'includ', 'specif', 'moment', 'wife', 'environ', 'other']",,,,
30,31,"['eight', 'sort', 'plant', 'popul', 'yet', 'tri', 'centuri']","['web', 'develop']","['figur', 'growth', 'follow', 'rememb', 'speak', 'simpl', 'five', 'sound', 'pull', 'rais', 'includ', 'physic']","['good', 'nearli', 'includ', 'whose', 'marriag', 'concern']","['thu', 'want', 'admit', 'time', 'act', 'wide', 'materi', 'scientist', 'view', 'run', 'game', 'energi', 'sourc', 'someon']","['miss', 'gener', 'anyon', 'noth', 'small']",,,,,
31,32,"['well', 'make', 'feder', 'increas', 'fast', 'execut', 'histori', 'total', 'feder', 'director', 'store']","['person', 'financ']","['hour', 'money', 'whatev', 'rememb', 'learn', 'join', 'energi', 'forc', 'face', 'foreign', 'administr', 'gener']","['particular', 'pattern', 'establish', 'school', 'growth', 'develop', 'western', 'polici', 'behavior', 'bear', 'upon']","['citizen', 'author', 'one', 'success', 'interest', 'goal', 'film', 'group', 'determin', 'administr', 'seem', 'weight', 'put', 'sit', 'choos', 'site', 'data', 'time', 'director']","['visit', 'present', 'howev', 'bodi', 'north', 'almost', 'thank', 'fall', 'might', 'prepar', 'hous', 'help', 'posit', 'expect', 'line']",,,,,
32,33,"['beauti', 'care', 'bodi', 'lose', 'drive', 'forward', 'everyon', 'probabl']",['cybersecur'],"['magazin', 'earli', 'cultur', 'wall', 'eat', 'career', 'ball', 'less', 'measur']","['oil', 'tend', 'bad', 'wall', 'commun', 'rest', 'debat', 'custom', 'question', 'avoid', 'enter', 'coach', 'everi', 'even', 'common', 'comput', 'one', 'continu']","['elect', 'player', 'babi', 'compar', 'particip', 'perform', 'type', 'art', 'hotel', 'medium', 'seven', 'posit', 'probabl']","['like', 'comput', 'becom', 'parti', 'opportun', 'sort', 'break', 'individu', 'shoulder', 'check', 'anyon', 'hotel', 'put', 'eight', 'alon', 'seem', 'claim']","['american', 'develop', 'civil', 'life', 'full', 'manag', 'second', 'bit', 'particip', 'technolog', 'water', 'soon', 'budget', 'skill', 'lead', 'glass', 'behind']",,,,
33,34,"['studi', 'site', 'howev', 'result', 'sort', 'structur', 'deal', 'woman', 'kind', 'far', 'necessari']","['career', 'develop']","['success', 'eye', 'pick']","['control', 'admit', 'skin', 'drug', 'easi']","['happen', 'knowledg', 'environment', 'charg', 'continu']",,,,,,
